"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Composite","CompositeCode","CrewLetter","CompetitionNotes","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max",
"1026956","118791","1x","Op 1x","","PTR","Putney Town Rowing Club","PTR-DISERENS-S","N","","","","335","335","197","262",
"1026986","118791","1x","Op 1x","","TRC","Thames Rowing Club","TRC-HOIER","N","","","","105","210","28","224",
"1026997","118791","1x","Op 1x","","LDR","Leander Club","LDR-KIRKWOOD","N","","A","","1","4","145","578",
"1027007","118791","1x","Op 1x","","ETX","Eton Excelsior Rowing Club","ETX-MILNE","N","","","","28","224","14","27",
"1027048","118791","1x","Op 1x","","MED","Medway Towns Rowing Club","MED-BLAIR","N","","","","2","16","30","60",
"1027099","118791","1x","Op 1x","","BED","Bedford Rowing Club","Matt Farley","N","","M","","47","47","236","236",
"1027143","118791","1x","Op 1x","","CAB","Cantabrigian Rowing Club","CAB-ADAMS","N","","","","200","320","138","158",
"1027235","118791","1x","Op 1x","","BIR","Birmingham Rowing Club","BIR-BYFORD","N","","","","0","0","404","404",
"1026820","118792","Lwt.1x","Op Lwt 1x","","GLB","Globe Rowing Club","GLB-NORIEL","N","","","","49","98","69","69",
"1026966","118803","MasA.1x","Op MasA 1x","","AKN","Auriol Kensington Rowing Club","AKN-MEARING-SMITH","N","","","","312","312","74","295",
"1026987","118803","MasA.1x","Op MasA 1x","","TRC","Thames Rowing Club","TRC-RYAN","N","","","","144","230","75","299",
"1026988","118803","MasA.1x","Op MasA 1x","","TRC","Thames Rowing Club","TRC-LEE","N","","","","79","90","86","115",
"1026862","118804","MasB.1x","Op MasB 1x","","TTR","Thames Tradesmen's Rowing Club","TTR-DODD","N","","","","88","176","78","78",
"1026886","118804","MasB.1x","Op MasB 1x","","GLB","Globe Rowing Club","GLB-ASKIN","N","","","","20","160","62","62",
"1027055","118804","MasB.1x","Op MasB 1x","","TKC","Team Keane Sculling School","TKC-KEANE","N","","A","","0","0","310","310",
"1027057","118804","MasB.1x","Op MasB 1x","","MON","Monmouth Rowing Club","MON-BUTLER","N","","","","262","262","160","160",
"1027135","118804","MasB.1x","Op MasB 1x","","HEN","Henley Rowing Club","HEN-HILLYARD","N","","","","0","0","27","214",
"1027156","118804","MasB.1x","Op MasB 1x","","TRC","Thames Rowing Club","TRC-YATES","N","","A","","177","708","19","49",
"1027163","118804","MasB.1x","Op MasB 1x","","LER","Leicester Rowing Club","LER-SMITH","N","","","","0","0","337","337",
